month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
January,1006.0,38241.0,107762.0,33866.0,97.0,2570.0,67072.0,815.0,19236.0,33202.0,1.0,361.0,872.0,16.0,1413.0,407.0,611.0,1170.0,34815.0,66981.0,2.0,11.0,1.0,85.0,6591.0,8.0,44916.0,6454.0,8.0,3598.0,3.0,25038.0,2923.0,461.0,132127.0,9292.0,642032.0
February,872.0,36639.0,100124.0,26731.0,92.0,1890.0,59542.0,681.0,17443.0,28098.0,,389.0,723.0,9.0,1416.0,333.0,536.0,1127.0,29172.0,64976.0,5.0,12.0,2.0,64.0,4300.0,15.0,41242.0,5700.0,17.0,3546.0,1.0,18523.0,2216.0,366.0,113108.0,7685.0,567595.0
March,1183.0,45351.0,124942.0,31230.0,107.0,2105.0,76661.0,749.0,19575.0,31533.0,,748.0,878.0,12.0,1610.0,435.0,627.0,1466.0,32932.0,70091.0,,12.0,1.0,97.0,4917.0,13.0,46073.0,6172.0,9.0,4822.0,3.0,21619.0,2565.0,482.0,132658.0,9458.0,671136.0
April,1166.0,45795.0,125892.0,32565.0,104.0,2122.0,79781.0,688.0,18497.0,30421.0,,1240.0,1058.0,3.0,1538.0,405.0,570.0,1376.0,31841.0,63757.0,1.0,12.0,1.0,58.0,4783.0,9.0,44186.0,6049.0,14.0,4488.0,1.0,22378.0,2499.0,463.0,134438.0,9763.0,667962.0
May,1314.0,51951.0,142610.0,37168.0,114.0,2394.0,83875.0,776.0,19027.0,29761.0,,1639.0,1215.0,8.0,1728.0,442.0,716.0,1418.0,33210.0,63775.0,4.0,13.0,,79.0,5185.0,18.0,44401.0,6117.0,26.0,5621.0,1.0,25055.0,3004.0,461.0,145421.0,11211.0,719758.0
June,1285.0,49291.0,139787.0,36559.0,111.0,2499.0,81564.0,765.0,17856.0,29733.0,,1876.0,1348.0,10.0,1735.0,412.0,691.0,1496.0,32976.0,59414.0,9.0,15.0,,65.0,4934.0,9.0,42016.0,5601.0,22.0,5053.0,,25190.0,3035.0,455.0,148501.0,10191.0,704504.0
July,1395.0,49948.0,141033.0,39916.0,116.0,2671.0,86361.0,784.0,18425.0,30021.0,,1966.0,1449.0,6.0,1826.0,441.0,642.0,1364.0,35300.0,62362.0,2.0,17.0,1.0,75.0,4684.0,17.0,42910.0,5900.0,13.0,4785.0,1.0,28251.0,3198.0,490.0,164253.0,10670.0,741293.0
August,1216.0,48575.0,132794.0,41245.0,119.0,2582.0,84470.0,760.0,18971.0,30781.0,,2220.0,1311.0,10.0,1874.0,425.0,603.0,1316.0,35346.0,64885.0,5.0,18.0,1.0,55.0,4737.0,18.0,42402.0,6297.0,25.0,4486.0,3.0,28608.0,3031.0,453.0,164366.0,10689.0,734697.0
September,1186.0,47486.0,126319.0,39030.0,134.0,2440.0,77997.0,712.0,18294.0,29361.0,,1803.0,1260.0,14.0,1737.0,456.0,630.0,1275.0,34045.0,61338.0,5.0,17.0,1.0,69.0,4584.0,14.0,38448.0,5909.0,19.0,4962.0,3.0,27314.0,2921.0,449.0,150562.0,10157.0,690951.0
October,1161.0,44909.0,122662.0,40204.0,117.0,2333.0,82683.0,730.0,18742.0,30871.0,,1308.0,1135.0,11.0,1542.0,467.0,546.0,1232.0,36336.0,62213.0,2.0,22.0,,98.0,4491.0,6.0,40774.0,5929.0,15.0,4947.0,3.0,28969.0,2616.0,450.0,152015.0,9869.0,699408.0
November,1057.0,38189.0,106442.0,37714.0,90.0,2035.0,73990.0,655.0,17151.0,29262.0,,740.0,1021.0,4.0,1392.0,335.0,595.0,1091.0,33912.0,59554.0,2.0,22.0,,61.0,4266.0,15.0,37669.0,5568.0,20.0,3716.0,2.0,26484.0,2246.0,445.0,136043.0,8607.0,630395.0
December,971.0,36113.0,101895.0,36258.0,83.0,1841.0,65580.0,597.0,16187.0,31391.0,,348.0,940.0,4.0,1227.0,329.0,592.0,779.0,34221.0,54374.0,1.0,14.0,1.0,67.0,4468.0,8.0,36404.0,4356.0,15.0,3249.0,3.0,26744.0,2033.0,369.0,131703.0,7955.0,601120.0
