"","District","Arrest","n"
"1",8,"false",422382
"2",4,"false",358106
"3",6,"false",353578
"4",25,"false",337101
"5",7,"false",334841
"6",12,"false",314269
"7",3,"false",307765
"8",11,"false",302148
"9",19,"false",290477
"10",9,"false",286637
"11",2,"false",286077
"12",18,"false",280842
"13",5,"false",268409
"14",14,"false",249572
"15",1,"false",242963
"16",10,"false",240196
"17",16,"false",221550
"18",11,"true",213900
"19",15,"false",211163
"20",22,"false",209862
"21",24,"false",193052
"22",17,"false",186398
"23",15,"true",132148
"24",7,"true",127686
"25",25,"true",121570
"26",8,"true",120198
"27",6,"true",119219
"28",20,"false",111972
"29",10,"true",107710
"30",9,"true",106901
"31",3,"true",102071
"32",4,"true",100340
"33",2,"true",97343
"34",12,"true",89317
"35",5,"true",88533
"36",1,"true",88097
"37",18,"true",83564
"38",19,"true",74650
"39",14,"true",62437
"40",22,"true",54424
"41",24,"true",52926
"42",16,"true",49859
"43",17,"true",47251
"44",20,"true",32074
"45",31,"false",166
"46",31,"true",89
"47",NA,"false",34
"48",NA,"true",13
"49",21,"false",2
"50",21,"true",2
