month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Total
January,1006.0,38242.0,107766.0,33866.0,97.0,2570.0,67072.0,820.0,19235.0,33232.0,1.0,361.0,872.0,16.0,1413.0,407.0,611.0,1170.0,34816.0,67035.0,2.0,11.0,1.0,86.0,6599.0,8.0,44923.0,6454.0,8.0,3598.0,3.0,25038.0,2923.0,462.0,132132.0,9293.0,642149.0
February,872.0,36638.0,100128.0,26734.0,92.0,1890.0,59543.0,683.0,17443.0,28118.0,,389.0,723.0,9.0,1416.0,333.0,536.0,1127.0,29173.0,65011.0,5.0,12.0,2.0,64.0,4298.0,15.0,41246.0,5700.0,17.0,3546.0,1.0,18523.0,2217.0,365.0,113115.0,7686.0,567670.0
March,1183.0,45355.0,124945.0,31233.0,107.0,2105.0,76661.0,751.0,19575.0,31571.0,,748.0,878.0,12.0,1610.0,435.0,627.0,1466.0,32938.0,70130.0,,12.0,1.0,97.0,4914.0,13.0,46082.0,6172.0,9.0,4823.0,3.0,21618.0,2567.0,483.0,132676.0,9459.0,671259.0
April,1167.0,45800.0,125897.0,32565.0,104.0,2122.0,79784.0,689.0,18498.0,30488.0,,1240.0,1058.0,3.0,1538.0,404.0,570.0,1376.0,31850.0,63774.0,1.0,12.0,1.0,58.0,4777.0,9.0,44204.0,6049.0,14.0,4488.0,1.0,22377.0,2501.0,463.0,134487.0,9763.0,668132.0
May,1334.0,52734.0,144059.0,37421.0,122.0,2394.0,84661.0,821.0,19161.0,30246.0,,1639.0,1239.0,8.0,1751.0,448.0,719.0,1425.0,33855.0,63928.0,4.0,13.0,,80.0,5245.0,18.0,44937.0,6120.0,26.0,5650.0,1.0,25268.0,3060.0,477.0,147282.0,11443.0,727589.0
June,1301.0,50089.0,141330.0,36779.0,119.0,2498.0,82455.0,825.0,17996.0,30181.0,,1877.0,1364.0,10.0,1749.0,416.0,694.0,1499.0,33712.0,59553.0,9.0,15.0,,66.0,4983.0,9.0,42548.0,5607.0,22.0,5087.0,,25508.0,3069.0,467.0,150236.0,10477.0,712550.0
July,1395.0,49948.0,141033.0,39916.0,116.0,2670.0,86361.0,785.0,18425.0,30030.0,,1966.0,1449.0,6.0,1826.0,441.0,642.0,1364.0,35302.0,62362.0,2.0,17.0,1.0,75.0,4685.0,17.0,42910.0,5900.0,13.0,4785.0,1.0,28251.0,3198.0,490.0,164253.0,10670.0,741305.0
August,1216.0,48575.0,132795.0,41244.0,119.0,2579.0,84472.0,764.0,18971.0,30789.0,,2220.0,1311.0,10.0,1874.0,425.0,603.0,1316.0,35347.0,64885.0,5.0,18.0,1.0,55.0,4738.0,18.0,42402.0,6297.0,25.0,4486.0,3.0,28608.0,3030.0,453.0,164367.0,10689.0,734710.0
September,1186.0,47486.0,126321.0,39031.0,134.0,2440.0,77997.0,710.0,18294.0,29369.0,,1803.0,1260.0,14.0,1737.0,456.0,630.0,1275.0,34045.0,61339.0,5.0,17.0,1.0,69.0,4585.0,14.0,38450.0,5909.0,19.0,4962.0,3.0,27315.0,2921.0,449.0,150565.0,10157.0,690968.0
October,1161.0,44909.0,122663.0,40204.0,117.0,2333.0,82682.0,733.0,18742.0,30878.0,,1308.0,1134.0,11.0,1542.0,467.0,546.0,1232.0,36337.0,62215.0,2.0,22.0,,98.0,4492.0,6.0,40773.0,5929.0,15.0,4947.0,3.0,28969.0,2615.0,451.0,152017.0,9870.0,699423.0
November,1057.0,38189.0,106444.0,37715.0,90.0,2034.0,73990.0,655.0,17151.0,29276.0,,740.0,1021.0,4.0,1392.0,335.0,595.0,1091.0,33912.0,59556.0,2.0,22.0,,61.0,4266.0,15.0,37674.0,5568.0,20.0,3716.0,2.0,26484.0,2248.0,445.0,136048.0,8607.0,630425.0
December,971.0,36113.0,101898.0,36258.0,83.0,1841.0,65580.0,598.0,16187.0,31403.0,,348.0,940.0,4.0,1227.0,329.0,592.0,779.0,34222.0,54391.0,1.0,14.0,1.0,67.0,4467.0,8.0,36407.0,4356.0,15.0,3249.0,3.0,26744.0,2034.0,369.0,131704.0,7955.0,601158.0
